what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351015988282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351015988332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351015988353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351015988355
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1351015998023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351016122072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351016124894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351016138081
started,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1351016143906
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1351016143920
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1351016143934
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1351016143952
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1351016144038
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1351016144038
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1351016144039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351016144802
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1351016144889
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1351016144921
error,log,,,"Unexpected exception: HTTP Server 'Internal Error': http://marketplace.eclipse.org/sites/default/files/styles/medium/public/CuteResultsOK.png",1351016147479
error,log,,,"Unexpected exception: Unable to read repository at http://www.emedt.com/images/bdt/bdt-lg.gif.",1351016178879
error,log,,,"Unexpected exception: Unable to read repository at http://www.emedt.com/images/bdt/bdt-lg.gif.",1351016187605
error,log,,,"Unexpected exception: Unable to read repository at http://www.emedt.com/images/bdt/bdt-lg.gif.",1351016188463
